ID,Название,Регион,Район,Город,Район города,Адрес,Индекс,Телефон,Мобильный телефон,Email,Сайт,Рубрика,Подрубрика,Рейтинг,Кол-во отзывов,Кол-во оценок,whatsapp,telegram,vkontakte,Широта,Долгота
4504127908753851,"Дом Лента — ОБИ, гипермаркет товаров для ремонта, дома и сада",Москва,,Москва,Филёвский парк район,"Багратионовский проезд, 5",121087,"+7 (495) 777‒75‒75, 8‒800‒500‒80‒80",,"info@mail.ru, info@obi.ru","http://darim.domlenta.ru/, http://domlenta.ru, http://obi.ru/akcii/rasprodazha, http://t.me/obi_russia","Автотовары, Автотранспорт, Аудио / Видео / Бытовая техника, Инструмент, Климатическое оборудование, Материалы для производства мебели, Мебель, Отделочные материалы, Охрана / Безопасность, Предметы интерьера / экстерьера, Промышленное оборудование, Садово-хозяйственные товары, Сантехническое оборудование, Спецмагазины, Средства связи, Строительное оборудование и техника, Строительные материалы / конструкции, Текстиль, Химия / Вторсырьё, Художественные изделия / материалы, Электротехника","Автоаксессуары, Автоматические ворота / шлагбаумы, Автоматические двери, Автохимия, Антенны, Ароматовары, Бетон / Раствор, Бытовая техника, Вентиляционное / тепловое оборудование, Входные двери, Герметики / Клеи, Гидроизоляционные материалы, Гипсокартон, Декоративные аквасистемы, Декоративные отделочные элементы и материалы, Домашний текстиль, Домофоны, ДСП / ДВП / Фанера, Жалюзи, Заборы / Ограждения, Замки / Скобяные изделия, Звукоизоляционные материалы, Интерьерные лестницы, Кабель / Провод, Карнизы, Керамическая плитка, Керамические изделия, Керамогранит, Кирпич, Кованые изделия, Комплектующие для дверей, Комплектующие для окон, Кондиционеры, Корпусная мебель, Котельное оборудование, Крепёж, Кровельные материалы, Лаки / Краски, ЛДСП / ДВПО / МДФ, Мебель для ванных комнат, Мебель для кухни, Мебельная фурнитура, Мебельные фасады, Межкомнатные двери, Металлорежущий инструмент, Напольные покрытия, Насосное оборудование, Натяжные потолки, Облицовочный камень, Обои, Огнезащитные материалы, Огнеупорные материалы, Окна, Оргстекло / Поликарбонат, Отделочные материалы, Охранные системы, Очистители воздуха, Перегородки, Песок / Щебень, Печи / камины для помещений, Пиломатериалы / Лесоматериалы, Погонажные изделия, Подвеска / Подсветка для картин, Подвесные потолки, Порошковые краски, Портьерные ткани / Шторы, Профессиональная химия, Резиновые покрытия, Рольставни, Садово-парковая мебель, Садовый инвентарь, Сантехника, Светопрозрачные конструкции, Светотехника, Сейфы, Сельхозтехника, Семена / Посадочный материал, Системы водоотведения, Слесарно-монтажный инструмент, Средства защиты растений / Удобрения, Стекло / Зеркала, Стеновые панели, Строительное оборудование, Строительные блоки, Стройматериалы, Сухие строительные смеси, Сэндвич-панели, Теплицы, Теплоизоляционные материалы, Тёплые полы, Товары для отопления / водоснабжения / канализации, Тротуарная плитка, Фасадные материалы / конструкции, Хозтовары, Цветы, Цемент, Чердачные лестницы, Электроизоляционные материалы, Электроинструмент, Электронагревательное оборудование, Электротехника, Электроустановочная продукция, Элементы питания","4,5",94,208,,,"https://vk.com/domlenta_russia, https://vk.com/obiru",55.743291,37.507327
4504127908782050,"Лемана Про, гипермаркет строительных материалов",Москва,,Москва,Лефортово район,"шоссе Энтузиастов, 12 к2",111024,8‒800‒700‒00‒99,,offer@leroymerlin.ru,"http://lemanapro.ru, http://max.ru/lemanapro, http://t.me/lemanapro","Инструмент, Климатическое оборудование, Материалы для производства мебели, Мебель, Отделочные материалы, Охрана / Безопасность, Предметы интерьера / экстерьера, Промышленное оборудование, Садово-хозяйственные товары, Сантехническое оборудование, Спецмагазины, Средства связи, Строительное оборудование и техника, Строительные материалы / конструкции, Тара / Упаковка, Текстиль, Электротехника","Абразивный инструмент, Автоматические ворота / шлагбаумы, Антенны, Бетон / Раствор, Вентиляционное / тепловое оборудование, Входные двери, Герметики / Клеи, Гидроизоляционные материалы, Гипсокартон, Декоративные отделочные элементы и материалы, Деревообрабатывающий инструмент, Домашний текстиль, Домофоны, ДСП / ДВП / Фанера, Жалюзи, Заборы / Ограждения, Замки / Скобяные изделия, Звукоизоляционные материалы, Измерительный инструмент, Интерьерные лестницы, Кабель / Провод, Карнизы, Керамическая плитка, Керамические изделия, Керамогранит, Кирпич, Ковры, Комплектующие для дверей, Комплектующие для окон, Кондиционеры, Котельное оборудование, Кровельные материалы, Лаки / Краски, ЛДСП / ДВПО / МДФ, Малярный инструмент, Мебель для ванных комнат, Мебель для кухни, Мебельные фасады, Межкомнатные двери, Металлорежущий инструмент, Напольные покрытия, Насосное оборудование, Новогодние товары, Облицовочный камень, Обои, Окна, Оргстекло / Поликарбонат, Отделочные материалы, Охранные системы, Пиломатериалы / Лесоматериалы, Подвесные потолки, Портьерные ткани / Шторы, Рольставни, Садово-парковая мебель, Садовый инвентарь, Сантехника, Светотехника, Сейфы, Семена / Посадочный материал, Системы водоотведения, Слесарно-монтажный инструмент, Стекло / Зеркала, Стеновые панели, Строительное оборудование, Строительные блоки, Строительные гипермаркеты, Стройматериалы, Сухие строительные смеси, Теплоизоляционные материалы, Тёплые полы, Товары для отопления / водоснабжения / канализации, Тротуарная плитка, Упаковочные материалы, Фасадные материалы / конструкции, Хозтовары, Цветы, Цемент, Электроизоляционные материалы, Электроинструмент, Электронагревательное оборудование, Электротехника, Электроустановочная продукция, Элементы питания","4,4",158,479,,https://t.me/lemanapro,https://vk.com/lemanapro,55.747276,37.70801
4504127908795130,"Профессионал, группа компаний",Москва,,Москва,Лефортово район,"5-я Кабельная улица, 2 ст6",111024,"+7 (495) 504‒92‒46, +7 (495) 737‒41‒89",+7‒929‒661‒85‒14,info@profi-sf.ru,http://www.profi-sf.ru,Строительные материалы / конструкции,"Железобетонные изделия, Кирпич, Строительные блоки, Сухие строительные смеси, Теплоизоляционные материалы",5,1,1,,https://t.me/profisf,https://vk.com/profi_sf,55.736953,37.716989
4504127908807916,"Braer, торговый дом",Москва,,Москва,Котловка район,"Нагорная улица, 18 к4",117186,+7 (495) 645‒71‒20,,"archi@braer.ru, array-partners@site.ru, news@braer.ru, partners@site.ru, sale@site.ru, td@braer.ru","http://jivo.chat/t1xTsDFd1Y, http://t.me/braerru, http://www.braer.ru",Строительные материалы / конструкции,"Кирпич, Строительные блоки, Тротуарная плитка",5,111,111,,,https://vk.com/braer_ru,55.681124,37.603057
4504127908807958,Торговый дом Клинкер хаус,Москва,,Москва,Фили-Давыдково район,"Давыдковская улица, 12 к3",121352,"+7 (495) 106‒12‒21, +7 (495) 255‒26‒26, +7 (495) 988‒43‒45, 8‒800‒302‒31‒08",,info@klinkerhaus.ru,http://www.klinkerhaus.ru,"Отделочные материалы, Строительные материалы / конструкции","Керамическая плитка, Кирпич, Кровельные материалы, Тротуарная плитка, Фасадные материалы / конструкции","4,8",27,29,+79099884345,,https://vk.com/klinkerhaus,55.722036,37.471015
4504127908808076,"Брик стоун, производственно-торговая компания",Москва,,Москва,Солнцево район,"2-я Карпатская улица, 4",119634,+7 (495) 649‒45‒12,+7‒926‒322‒68‒28,bstone@mail.ru,http://b-stone.ru,Строительные материалы / конструкции,Кирпич,,,,+79263226828,,,55.653061,37.373512
4504127908808165,"ТДСМ, торговый дом строительных материалов",Москва,,Москва,Лефортово район,"2-я Синичкина улица, 9а ст4",111020,"+7 (495) 660‒82‒00, +7 (495) 923‒95‒04",,info@tdsk-ceram.ru,"http://jivo.chat/IUrXTnITxE, http://tdsk-ceram.ru","Отделочные материалы, Строительные материалы / конструкции","Керамическая плитка, Кирпич",5,2,3,+74959239504,https://t.me/tdsm_moscow,https://vk.com/tdskceram,55.761142,37.717717
4504127908808176,"Terex, группа компаний",Москва,,Москва,Коптево район,"Михалковская улица, 63Б ст1",125438,+7 (495) 308‒93‒91,,info@yourdomain.com,http://www.terex-group.ru,Строительные материалы / конструкции,"Кирпич, Песок / Щебень, Сухие строительные смеси",,,,,,,55.836652,37.510363
4504127908809176,"MagicStone, торгово-производственная компания",Москва,,Москва,Котловка район,"Нахимовский проспект, 24 пав3",117218,+7 (495) 116‒58‒38,,magmatika08@gmail.com,http://magmatika.ru,"Отделочные материалы, Строительные материалы / конструкции","Кирпич, Облицовочный камень, Тротуарная плитка, Фасадные материалы / конструкции",,,,,,,55.671607,37.583951
4504127908849406,"Сиана, группа компаний",Москва,,Москва,Солнцево район,"22 километр Киевское шоссе, 4 ст2 к В",108811,+7 (499) 116‒35‒92,,"aleshina.va@gksiana.ru, d.mityukhin@gksiana.ru, davydov@gksiana.ru, dsm@gksiana.ru, dsm+433209@gksiana.ru, dsm+433210@gksiana.ru, dsm+433211@gksiana.ru, dsm+469372@gksiana.ru, dsm+469373@gksiana.ru, dsm+469374@gksiana.ru, dsm+87214904@gksiana.ru, dsm+87214905@gksiana.ru, dsm+87214941@gksiana.ru, dspo-info@gksiana.ru, evdokimov@gksiana.ru, hmv@gksiana.ru, ilyasova@gksiana.ru, info@gksiana.ru, logist@gksiana.ru, metlitskaya@scatoll.ru, orders@gksiana.ru, orders+433209@gksiana.ru, orders+469372@gksiana.ru, orders+87214904@gksiana.ru, orders+87214905@gksiana.ru, orders+87214941@gksiana.ru, sao@gksiana.ru, starun@gksiana.ru, tihonova@gksiana.ru, varlamova@gksiana.ru, zakup1@gksiana.ru, zakup2@gksiana.ru, zakup3@gksiana.ru","http://gksiana.ru/, http://plita.gksiana.ru/, http://svai.gksiana.ru/","Автотовары, Отделочные материалы, Промышленное оборудование, Сантехническое оборудование, Строительное оборудование и техника, Строительные материалы / конструкции, Электротехника","Бетон / Раствор, Бетоносмесители, Железобетонные изделия, Запчасти для спецтехники, Керамическая плитка, Кирпич, Материалы для дорожного строительства, Облицовочный камень, Оборудование для производства стройматериалов, Строительное оборудование, Строительные блоки, Стройматериалы, Товары для отопления / водоснабжения / канализации, Тротуарная плитка, Электродвигатели / Редукторы, Электротехника",,,,,,https://vk.com/gbigksiana,55.63496,37.438775
4504127908875281,"Совтстрой, торгово-строительная компания",Москва,,Москва,Котловка район,"Нахимовский проспект, 24 пав6",117218,+7 (495) 565‒32‒14,,"info@sovtstroy.ru, zakaz@sovtstroy.ru",http://www.sovtstroy.ru,"Отделочные материалы, Строительные / монтажные работы, Строительные материалы / конструкции","Декоративные отделочные элементы и материалы, Кирпич, Кровельные материалы, Сухие строительные смеси, Фасадные работы",,,,,,https://vk.com/sovtstroy2,55.67328,37.584242
4504127908885363,"Строительный мир, магазин отделочных и строительных материалов",Москва,,Москва,Метрогородок район,"улица Николая Химушина, 2/7 ст7",107143,"+7 (495) 414‒12‒55, +7 (495) 414‒22‒76",,"sm4141255@yandex.ru, sm9660469@yandex.ru, strmir@strmir.ru",http://strmir.ru,"Инструмент, Металлы, Отделочные материалы, Садово-хозяйственные товары, Сантехническое оборудование, Строительные материалы / конструкции, Электротехника","Абразивный инструмент, Герметики / Клеи, Гидроизоляционные материалы, Гипсокартон, Грязепоглощающие покрытия, Декоративные отделочные элементы и материалы, ДСП / ДВП / Фанера, Замки / Скобяные изделия, Звукоизоляционные материалы, Кабель / Провод, Керамическая плитка, Кирпич, Крепёж, Лаки / Краски, Малярный инструмент, Межкомнатные двери, Напольные покрытия, Облицовочный камень, Обои, Оргстекло / Поликарбонат, Отделочные материалы, Песок / Щебень, Пиломатериалы / Лесоматериалы, Погонажные изделия, Подвесные потолки, Садовый инвентарь, Сантехника, Светотехника, Слесарно-монтажный инструмент, Стеновые панели, Строительные блоки, Стройматериалы, Сухие строительные смеси, Теплоизоляционные материалы, Товары для отопления / водоснабжения / канализации, Хозтовары, Цемент, Чёрный металлопрокат, Электроинструмент, Электроустановочная продукция","4,5",28,42,,,https://vk.com/strmirru,55.82066,37.760935
4504127908969204,"Дом Лента — ОБИ, гипермаркет товаров для ремонта, дома и сада",Москва,,Москва,Чертаново Северное район,"Варшавское шоссе, 97",117556,"+7 (495) 777‒75‒75, 8‒800‒500‒80‒80",,info@obi.ru,"http://darim.domlenta.ru/, http://domlenta.ru, http://obi.ru/akcii/rasprodazha, http://t.me/obi_russia","Автотовары, Автотранспорт, Аудио / Видео / Бытовая техника, Инструмент, Климатическое оборудование, Материалы для производства мебели, Мебель, Отделочные материалы, Охрана / Безопасность, Предметы интерьера / экстерьера, Промышленное оборудование, Садово-хозяйственные товары, Сантехническое оборудование, Спецмагазины, Средства связи, Строительное оборудование и техника, Строительные материалы / конструкции, Текстиль, Товары / услуги для животных, Химия / Вторсырьё, Художественные изделия / материалы, Электротехника","Автоаксессуары, Автоматические ворота / шлагбаумы, Автоматические двери, Автохимия, Антенны, Ароматовары, Бетон / Раствор, Бытовая техника, Вентиляционное / тепловое оборудование, Входные двери, Герметики / Клеи, Гидроизоляционные материалы, Гипсокартон, Декоративные аквасистемы, Декоративные отделочные элементы и материалы, Домашний текстиль, Домофоны, ДСП / ДВП / Фанера, Жалюзи, Заборы / Ограждения, Замки / Скобяные изделия, Звукоизоляционные материалы, Зоотовары, Интерьерные лестницы, Кабель / Провод, Карнизы, Керамическая плитка, Керамические изделия, Керамогранит, Кирпич, Кованые изделия, Комплектующие для дверей, Комплектующие для окон, Кондиционеры, Корпусная мебель, Котельное оборудование, Крепёж, Кровельные материалы, Лаки / Краски, ЛДСП / ДВПО / МДФ, Мебель для ванных комнат, Мебель для кухни, Мебельная фурнитура, Мебельные фасады, Межкомнатные двери, Металлорежущий инструмент, Напольные покрытия, Насосное оборудование, Натяжные потолки, Новогодние товары, Облицовочный камень, Обои, Огнезащитные материалы, Огнеупорные материалы, Окна, Оргстекло / Поликарбонат, Отделочные материалы, Охранные системы, Очистители воздуха, Перегородки, Песок / Щебень, Печи / камины для помещений, Пиломатериалы / Лесоматериалы, Погонажные изделия, Подвеска / Подсветка для картин, Подвесные потолки, Порошковые краски, Портьерные ткани / Шторы, Профессиональная химия, Резиновые покрытия, Рольставни, Садово-парковая мебель, Садовый инвентарь, Сантехника, Светопрозрачные конструкции, Светотехника, Сейфы, Сельхозтехника, Семена / Посадочный материал, Системы водоотведения, Слесарно-монтажный инструмент, Стекло / Зеркала, Стеновые панели, Строительное оборудование, Строительные блоки, Строительные гипермаркеты, Стройматериалы, Сухие строительные смеси, Сэндвич-панели, Теплицы, Теплоизоляционные материалы, Тёплые полы, Товары для отопления / водоснабжения / канализации, Тротуарная плитка, Фасадные материалы / конструкции, Хозтовары, Цемент, Чердачные лестницы, Электроизоляционные материалы, Электроинструмент, Электронагревательное оборудование, Электротехника, Электроустановочная продукция, Элементы питания","4,5",132,218,,,"https://vk.com/domlenta_russia, https://vk.com/obiru",55.632965,37.624411
4504127909339657,"Группа компаний Мегакровля, торговая компания",Москва,,Москва,Покровское-Стрешнево район,"Строительный проезд, 7а к35",125362,+7 (495) 664‒44‒21,,zakaz@masterkrowli.ru,http://masterkrowli.ru,"Отделочные материалы, Строительные материалы / конструкции","Гидроизоляционные материалы, Заборы / Ограждения, Кирпич, Кровельные материалы, Лаки / Краски, Материалы для дорожного строительства, Песок / Щебень, Строительные блоки, Стройматериалы, Сухие строительные смеси, Теплоизоляционные материалы","4,4",7,7,,,,55.836835,37.425002
4504127909341138,"Стройпартнер, интернет-магазин строительных материалов",Москва,,Москва,Даниловский район,"Проектируемый 4062-й проезд, 6 ст2",115432,+7 (495) 215‒00‒80,,"ov@gsp77.ru, zakaz@st-par.ru","http://jivo.chat/V6SzwODm4b, http://st-par.ru",Строительные материалы / конструкции,"Железобетонные изделия, Кирпич, Строительные блоки, Сухие строительные смеси, Теплоизоляционные материалы",5,5,5,+74952150080,https://t.me/stroypartnerbot,,55.692965,37.660132
4504127914427286,"ТСГ, компания",Москва,,Москва,Текстильщики район,"Остаповский проезд, 15",109316,"+7 (495) 648‒46‒81, +7 (495) 722‒53‒88",,,http://www.thetastroy.ru,Строительные материалы / конструкции,"Кирпич, Песок / Щебень, Цемент",5,1,1,,,,55.718392,37.719269
4504127915900637,"СнабПлит, торговая компания",Москва,,Москва,Сосенское поселение,"Проектируемый 134-й проезд, к14",108820,,+7‒910‒480‒68‒92,snab-plit@yandex.ru,http://snab-plit.ru,"Отделочные материалы, Строительные материалы / конструкции","ДСП / ДВП / Фанера, Звукоизоляционные материалы, Кирпич, Напольные покрытия, Отделочные материалы, Пиломатериалы / Лесоматериалы, Стекломагнезитовые листы, Стройматериалы, Сухие строительные смеси, Теплоизоляционные материалы",,,,+79104806892,,,55.624483,37.463151
4504127916316747,"Уральская горно-металлургическая компания, представительство в г. Москве",Москва,,Москва,Замоскворечье район,"Средний Овчинниковский переулок, 1 ст1",115184,"+7 (495) 727‒06‒79, +7 (495) 953‒56‒56",,,,"Металлы, Строительные материалы / конструкции, Туризм / Отдых, Электротехника","Интересные здания, Кабель / Провод, Кирпич, Металлы / Сплавы, Песок / Щебень, Цветной металлопрокат",,,4,,,,55.745326,37.630348
4504127917142212,Магазин строительных и отделочных материалов,Москва,,Москва,,"Тихорецкий бульвар, 1 ст2 к Т",109559,,"+7‒903‒664‒01‒21, +7‒999‒773‒94‒40",,,"Отделочные материалы, Строительные материалы / конструкции","Герметики / Клеи, Кирпич, Крепёж, Лаки / Краски, Отделочные материалы, Строительные блоки, Стройматериалы, Сухие строительные смеси",,,1,"+79036640121, +79997739440",,,55.678891,37.782143
4504127917860733,"Керамика&клинкер, торговая дом",Москва,,Москва,Щукино район,"улица Берзарина, 34 ст26",123060,"+7 (495) 363‒11‒99, +7 (495) 772‒48‒05, +7 (495) 792‒30‒46",,sale@feldhaus.ru,http://feldhaus.ru,"Отделочные материалы, Строительные материалы / конструкции","Керамическая плитка, Кирпич, Сухие строительные смеси, Тротуарная плитка",,,,,https://t.me/+79251566793,,55.791531,37.469746
4504127917861603,"Зелстройкомплект, оптовая торговая фирма",Москва,,Зеленоград,,,,,+7‒909‒653‒55‒71,,,"Отделочные материалы, Строительные материалы / конструкции, Химия / Вторсырьё","Герметики / Клеи, Гидроизоляционные материалы, Железобетонные изделия, Кирпич, Крепёж, Производство изделий из пластмасс, Стройматериалы, Сухие строительные смеси, Тротуарная плитка",,,,,,,,
4504127918603456,"Строй Керамика Сервис, торговый дом",Москва,,Москва,Крылатское район,"Рублёвское шоссе, 28",121609,"+7 (495) 645‒31‒01, +7 (495) 645‒31‒02, +7 (495) 645‒31‒03",,"demin@td-scs.ru, rss_63@mail.ru, shitkov@td-scs.ru, trade@td-scs.ru","http://t.me/td_scs, http://td-scs.ru","Сантехническое оборудование, Строительные материалы / конструкции","Кирпич, Сантехника",5,1,1,,,,55.74779,37.425672
4504127919507530,"Регионы, торговый дом",Москва,,Москва,Очаково-Матвеевское район,"Рябиновая улица, 26 ст10",121471,+7 (495) 252‒01‒14,,,,Строительные материалы / конструкции,"Железобетонные изделия, Кирпич, Песок / Щебень, Цемент",,,,,,,55.694604,37.422866
